Year,Electricity and heat,Transport,Manufacturing and construction,Agriculture,Industry,Buildings,Fugitive emissions,Waste,Other fuel combustion,Land-use change and forestry,Aviation and shipping
1990,8596170000,4609040000,3955390000,4997830000,1010440000,2596850000,2253380000,1364400000,1353120000,1909290000,630860000
1991,8735040000,4648550000,3875910000,4988460000,1014310000,2622040000,2261860000,1395180000,1362830000,1909290000,638250000
1992,8894600000,4753490000,3743480000,4966820000,1030400000,2514520000,2165360000,1418280000,1274100000,1909290000,675220000
1993,8945800000,4794310000,3694800000,4936150000,1044440000,2574500000,2129690000,1444390000,1293130000,1909290000,667470000
1994,9042500000,4891400000,3711410000,4981350000,1151620000,2492940000,2063050000,1470960000,1262920000,1909320000,693780000
1995,9231220000,5024900000,3937600000,5038180000,1225100000,2566840000,2073700000,1476510000,1214260000,1915150000,717670000
1996,9586390000,5232370000,3827310000,5057350000,1277110000,2637750000,2106340000,1478310000,1154630000,1711370000,739580000
1997,9853190000,5309680000,3852360000,4986720000,1319750000,2615100000,2091650000,1474360000,1203740000,2681330000,765100000
1998,10080660000,5431290000,3854060000,5042290000,1323480000,2463090000,2076100000,1466280000,1180800000,2011150000,789130000
1999,10134660000,5592430000,3694740000,5098820000,1329140000,2533910000,2089090000,1464470000,1191820000,1819850000,830320000
2000,10552870000,5770250000,3874930000,5094120000,1388470000,2525960000,2134250000,1466760000,1129160000,1670960000,855080000
2001,10813150000,5800870000,3897350000,5105040000,1413160000,2550890000,2179350000,1452910000,1150840000,1338220000,822920000
2002,10999870000,5951040000,3896220000,5164050000,1479760000,2550130000,2228840000,1447970000,1156850000,1853110000,861970000
2003,11617710000,6076410000,4083280000,5158070000,1555420000,2633930000,2319230000,1443660000,1184760000,1545550000,867410000
2004,12001490000,6358370000,4515140000,5271690000,1654810000,2676430000,2393240000,1431880000,1224790000,1909320000,946150000
2005,12373250000,6498620000,4927560000,5307630000,1737330000,2676090000,2481800000,1422660000,1243770000,1631340000,990800000
2006,12861970000,6649630000,5176290000,5365470000,1868580000,2642410000,2567020000,1433850000,1261320000,2005130000,1043570000
2007,13427330000,6856170000,5450180000,5450030000,1993860000,2639530000,2639990000,1441860000,1274020000,1471650000,1092580000
2008,13457770000,6862600000,5563140000,5460100000,2039580000,2704710000,2746400000,1446930000,1289810000,1432930000,1101740000
2009,13257850000,6724100000,5547260000,5455290000,2089210000,2653970000,2739150000,1454290000,1282790000,1825130000,1048500000
2010,14151170000,7011930000,6087720000,5515230000,2223080000,2707440000,2793840000,1465130000,1312840000,1490210000,1119390000
2011,14755360000,7126580000,6313540000,5649500000,2371510000,2654660000,2830660000,1467310000,1317610000,404680000,1134560000
2012,15059190000,7182120000,6332910000,5677850000,2450410000,2599000000,2853290000,1476630000,1363570000,432640000,1088430000
2013,15320550000,7373420000,6324160000,5621260000,2556160000,2712170000,2860380000,1484040000,1406720000,388260000,1095070000
2014,15232520000,7498340000,6360380000,5669750000,2671420000,2660700000,2877380000,1514260000,1424610000,737940000,1132170000
2015,15009830000,7717010000,6315810000,5691560000,2678620000,2689700000,2883810000,1543590000,1444080000,786460000,1184420000
2016,14949510000,7878140000,6188610000,5737280000,2768080000,2737470000,2889310000,1560850000,1437090000,1267610000,1225100000
2017,15167360000,8078450000,6174410000,5821070000,2825880000,2796010000,2879970000,1583860000,1443420000,1220050000,1280820000
2018,15590950000,8257730000,6158320000,5817650000,2902680000,2882540000,2883390000,1606860000,1452020000,1387560000,1311600000